DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3228.8,0.13,2.574,36.117,2.983,7.237,8.578,73.66959980328483
3228.9,0.119,2.574,34.332,3.032,7.242,8.578,73.28436813868417
3229.0,0.108,2.577,30.81,3.177,7.242,8.57,72.16437083005891
3229.1,0.099,2.583,29.166,3.632,7.25,8.57,71.29668997053648
3229.2,0.096,2.59,27.718,3.94,7.257,8.559,68.14819181524088
3229.3,0.094,2.596,25.881,4.322,7.244,8.547,67.33245818928366
3229.4,0.095,2.602,25.874,4.286,7.212,8.547,67.3818442694892
3229.5,0.096,2.607,26.296,4.228,7.185,8.547,67.92281089913423
3229.6,0.099,2.608,25.482,4.223,7.171,8.549,67.70136094905699
3229.7,0.101,2.604,27.037,4.215,7.154,8.578,68.06070029558005
3229.8,0.107,2.597,28.525,4.186,7.127,8.578,68.6596739274695
3229.9,0.114,2.59,30.814,3.864,7.106,8.578,73.13115981953015
3230.0,0.122,2.586,32.429,3.79,7.117,8.578,74.30257128887393
3230.1,0.127,2.584,33.821,3.625,7.158,8.578,74.78020026158474
3230.2,0.131,2.585,34.56,3.515,7.203,8.578,74.56836331006673
3230.3,0.135,2.585,35.059,3.434,7.242,8.578,74.70901285169319
3230.4,0.132,2.586,34.725,3.506,7.276,8.631,73.33300533660893
3230.5,0.132,2.588,35.834,3.508,7.311,8.703,71.9163960790348
3230.6,0.139,2.59,35.505,3.307,7.35,8.631,74.00091387846919
3230.7,0.142,2.593,35.693,3.116,7.384,8.578,75.34174175885231
3230.8,0.139,2.595,34.785,2.946,7.406,8.602,74.21696177590125
3230.9,0.138,2.596,34.288,2.701,7.412,8.625,74.56454025729283
3231.0,0.139,2.595,34.201,2.665,7.411,8.59,74.6857857429573
3231.1,0.136,2.593,32.631,2.891,7.424,8.616,73.25088378434785
3231.2,0.136,2.592,34.198,3.211,7.45,8.625,73.98441484178989
3231.3,0.137,2.591,34.413,3.497,7.464,8.625,74.70746033317637
3231.4,0.138,2.59,36.33,3.635,7.468,8.625,74.03004908636576
3231.5,0.138,2.59,37.096,3.679,7.466,8.625,74.04350003614343
3231.6,0.136,2.591,36.601,3.404,7.465,8.625,73.60182491677288
3231.7,0.13,2.592,34.562,3.26,7.453,8.625,73.4332945747835
3231.8,0.121,2.592,33.364,3.427,7.427,8.613,72.77052336895436
3231.9,0.114,2.593,31.091,3.617,7.413,8.578,73.22818044888591
3232.0,0.105,2.594,28.525,3.88,7.425,8.578,68.61116543307539
3232.1,0.098,2.596,25.789,4.203,7.45,8.564,67.84255762870112
3232.2,0.096,2.599,23.539,4.443,7.462,8.547,67.6457675619684
3232.3,0.096,2.602,22.455,4.645,7.447,8.551,67.1436434575861
3232.4,0.097,2.604,22.558,4.712,7.432,8.547,67.19661478716002
3232.5,0.1,2.604,23.288,4.644,7.445,8.556,67.1073130182016
3232.6,0.101,2.6,24.347,4.468,7.469,8.578,67.71260419288156
3232.7,0.104,2.596,25.332,4.14,7.48,8.578,68.31500608435846
3232.8,0.108,2.593,25.434,4.048,7.479,8.578,68.26487931494721
3232.9,0.112,2.59,25.758,3.862,7.48,8.578,68.75033512725881
3233.0,0.116,2.588,25.924,4.248,7.492,8.578,68.67207942910794
3233.1,0.118,2.587,26.59,4.101,7.516,8.578,68.80794288687812
3233.2,0.113,2.586,27.48,4.009,7.55,8.606,68.9949738417344
3233.3,0.109,2.588,26.658,3.983,7.595,8.606,68.07296183665338
3233.4,0.103,2.59,25.533,3.915,7.64,8.615,68.06743135567419
3233.5,0.1,2.593,23.831,4.096,7.643,8.578,67.54338406248135
3233.6,0.095,2.596,24.228,4.236,7.575,8.578,67.12934837972284
3233.7,0.09,2.597,21.9,4.279,7.471,8.578,66.49643391634899
3233.8,0.086,2.598,20.714,4.587,7.399,8.578,66.2938615801565
3233.9,0.082,2.599,20.138,4.881,7.385,8.578,66.28240949328392
3234.0,0.079,2.602,18.404,4.855,7.401,8.578,65.6714639351962
3234.1,0.078,2.607,16.941,4.85,7.411,8.578,65.50050271582123
3234.2,0.081,2.61,16.394,4.861,7.412,8.552,65.21019674641575
3234.3,0.083,2.611,16.287,4.891,7.42,8.547,65.2480081725259
3234.4,0.087,2.611,17.167,4.949,7.43,8.547,65.70462076555185
3234.5,0.09,2.609,19.168,4.945,7.431,8.578,65.73580039430195
3234.6,0.096,2.606,21.577,4.973,7.429,8.578,66.92249725449506
3234.7,0.102,2.6,24.071,4.766,7.447,8.578,67.75330297324449
3234.8,0.107,2.594,25.84,4.513,7.472,8.578,68.16656987434716
3234.9,0.11,2.588,26.727,4.354,7.471,8.578,68.95322602314607
3235.0,0.114,2.583,25.723,4.334,7.424,8.578,68.7972668794781
3235.1,0.118,2.579,26.062,4.188,7.352,8.578,68.3783606046133
3235.2,0.122,2.576,28.367,3.762,7.299,8.578,70.1041785865136
3235.3,0.123,2.576,28.454,3.691,7.275,8.578,70.2230779466583
3235.4,0.122,2.578,28.311,3.937,7.276,8.578,70.22616497189621
3235.5,0.12,2.579,28.338,3.915,7.298,8.578,70.02012579383194
3235.6,0.116,2.579,26.554,3.954,7.314,8.578,68.68485067475255
3235.7,0.114,2.576,25.532,3.78,7.304,8.578,68.62390173191854
3235.8,0.113,2.572,26.078,3.826,7.267,8.578,68.72482563639332
3235.9,0.114,2.571,26.135,3.572,7.237,8.578,68.6887551362948
3236.0,0.115,2.572,26.661,3.76,7.236,8.578,68.79802922440147
3236.1,0.118,2.573,26.428,3.687,7.261,8.568,68.82449571614683
3236.2,0.115,2.573,25.239,3.643,7.299,8.578,68.78915056213177
3236.3,0.115,2.572,25.919,3.629,7.334,8.578,68.78646357807467
3236.4,0.117,2.572,25.628,3.587,7.357,8.578,68.60367779006097
3236.5,0.115,2.572,26.346,3.522,7.367,8.597,68.97919301050732
3236.6,0.117,2.574,27.203,3.425,7.359,8.625,69.0074788823867
3236.7,0.12,2.575,26.147,3.38,7.34,8.586,70.28048112051901
